Timestamp,BME_Temp,BME_Hum,BME_Pres,BME_Gas,SHT_Temp,SHT_Hum,MQ3,MQ135,MQ136,MQ137,ADC_RMS,ADC_Channel,ADC_Frequency
2025-08-06 20:59:10.750405,0.0,0.0,0.0,1.9675688743591309,,,0,0,190,198,0.0,4,100
2025-08-06 20:59:10.752759,0.0,0.0,0.0,1.9675688743591309,,,0,0,190,198,0.0,1,1000
2025-08-06 20:59:10.796164,0.0,0.0,0.0,1.9675688743591309,,,0,0,190,198,0.0,2,1000
2025-08-06 20:59:10.798726,0.0,0.0,0.0,1.9675688743591309,,,0,0,190,198,0.0,3,1000
2025-08-06 20:59:10.839245,0.0,0.0,0.0,1.9675688743591309,,,0,0,190,198,0.0,4,1000
2025-08-06 20:59:10.886263,0.0,0.0,0.0,1.9675688743591309,,,0,0,190,198,0.0,1,10000
2025-08-06 20:59:10.934120,0.0,0.0,0.0,1.9675688743591309,,,0,0,190,198,0.0,2,10000
2025-08-06 20:59:10.979861,0.0,0.0,0.0,1.9675688743591309,,,0,0,190,198,0.0,3,10000
2025-08-06 20:59:10.987208,0.0,0.0,0.0,1.9675688743591309,,,0,0,190,198,0.0,4,10000
2025-08-06 20:59:10.993863,0.0,0.0,0.0,1.9675688743591309,,,0,0,190,198,0.0,1,100000
2025-08-06 20:59:11.019600,0.0,0.0,0.0,1.9675688743591309,,,0,0,190,198,0.0,2,100000
2025-08-06 20:59:11.024431,0.0,0.0,0.0,1.9675688743591309,,,0,0,190,198,0.0,3,100000
2025-08-06 20:59:11.029986,0.0,0.0,0.0,1.9675688743591309,,,0,0,190,198,0.0,4,100000
2025-08-06 20:59:11.066693,0.0,0.0,0.0,1.9675688743591309,,,0,0,190,198,0.0,1,1000000
2025-08-06 20:59:11.073328,0.0,0.0,0.0,1.9675688743591309,,,0,0,190,198,0.0,2,1000000
2025-08-06 20:59:11.079374,0.0,0.0,0.0,1.9675688743591309,,,0,0,190,198,0.0,3,1000000
2025-08-06 20:59:11.109803,0.0,0.0,0.0,1.9675688743591309,,,0,0,190,198,0.0,4,1000000
2025-08-06 20:59:12.639681,0.0,0.0,0.0,1.9675688743591309,,,0,0,191,200,0.0,1,10
2025-08-06 20:59:12.690527,0.0,0.0,0.0,1.9675688743591309,,,0,0,191,200,0.0,2,10
2025-08-06 20:59:12.696000,0.0,0.0,0.0,1.9675688743591309,,,0,0,191,200,0.0,3,10
2025-08-06 20:59:12.700228,0.0,0.0,0.0,1.9675688743591309,,,0,0,191,200,0.0,4,10
2025-08-06 20:59:12.729376,0.0,0.0,0.0,1.9675688743591309,,,0,0,191,200,0.0,1,100
2025-08-06 20:59:12.779484,0.0,0.0,0.0,1.9675688743591309,,,0,0,191,200,0.0,2,100
2025-08-06 20:59:12.819836,0.0,0.0,0.0,1.9675688743591309,,,0,0,191,200,0.0,3,100
2025-08-06 20:59:12.866124,0.0,0.0,0.0,1.9675688743591309,,,0,0,191,200,0.0,4,100
2025-08-06 20:59:12.910095,0.0,0.0,0.0,1.9675688743591309,,,0,0,191,200,0.0,1,1000
2025-08-06 20:59:12.959921,0.0,0.0,0.0,1.9675688743591309,,,0,0,191,200,0.0,2,1000
2025-08-06 20:59:13.003085,0.0,0.0,0.0,1.9675688743591309,,,0,0,191,200,0.0,3,1000
2025-08-06 20:59:13.046508,0.0,0.0,0.0,1.9675688743591309,,,0,0,191,200,0.0,4,1000
2025-08-06 20:59:13.053554,0.0,0.0,0.0,1.9675688743591309,,,0,0,191,200,0.0,1,10000
2025-08-06 20:59:13.091090,0.0,0.0,0.0,1.9675688743591309,,,0,0,191,200,0.0,2,10000
2025-08-06 20:59:13.140289,0.0,0.0,0.0,1.9675688743591309,,,0,0,191,200,0.0,3,10000
2025-08-06 20:59:13.147370,0.0,0.0,0.0,1.9675688743591309,,,0,0,191,200,0.0,4,10000
