Timestamp,BME_Temp,BME_Hum,BME_Pres,BME_Gas,SHT_Temp,SHT_Hum,MQ3,MQ135,MQ136,MQ137,Ch1_F100Hz_Mean,Ch2_F100Hz_Mean,Ch3_F100Hz_Mean,Ch4_F100Hz_Mean,Ch1_F1000Hz_Mean,Ch2_F1000Hz_Mean,Ch3_F1000Hz_Mean,Ch4_F1000Hz_Mean,Ch1_F5000Hz_Mean,Ch2_F5000Hz_Mean,Ch3_F5000Hz_Mean,Ch4_F5000Hz_Mean,Ch1_F10000Hz_Mean,Ch2_F10000Hz_Mean,Ch3_F10000Hz_Mean,Ch4_F10000Hz_Mean,Ch1_F50000Hz_Mean,Ch2_F50000Hz_Mean,Ch3_F50000Hz_Mean,Ch4_F50000Hz_Mean,Ch1_F100000Hz_Mean,Ch2_F100000Hz_Mean,Ch3_F100000Hz_Mean,Ch4_F100000Hz_Mean,Ch1_F100Hz_StdDev,Ch2_F100Hz_StdDev,Ch3_F100Hz_StdDev,Ch4_F100Hz_StdDev,Ch1_F1000Hz_StdDev,Ch2_F1000Hz_StdDev,Ch3_F1000Hz_StdDev,Ch4_F1000Hz_StdDev,Ch1_F5000Hz_StdDev,Ch2_F5000Hz_StdDev,Ch3_F5000Hz_StdDev,Ch4_F5000Hz_StdDev,Ch1_F10000Hz_StdDev,Ch2_F10000Hz_StdDev,Ch3_F10000Hz_StdDev,Ch4_F10000Hz_StdDev,Ch1_F50000Hz_StdDev,Ch2_F50000Hz_StdDev,Ch3_F50000Hz_StdDev,Ch4_F50000Hz_StdDev,Ch1_F100000Hz_StdDev,Ch2_F100000Hz_StdDev,Ch3_F100000Hz_StdDev,Ch4_F100000Hz_StdDev
2025-09-26 13:39:50.047161,52.38740158081055,11.730231285095215,950.3200073242188,4.8470001220703125,51.060001373291016,18.010000228881836,0.05250305309891701,0.2112332135438919,0.514041543006897,0.5622710585594177,0.3550005555152893,0.3543807864189148,0.3562406599521637,0.348722368478775,0.5668621063232422,0.5631747841835022,0.5739238858222961,0.5745443105697632,0.5273808836936951,0.5306875109672546,0.5287320613861084,0.5259106159210205,0.4348542392253876,0.4350174069404602,0.4332665801048279,0.4356400668621063,0.1399184912443161,0.13378030061721802,0.1366645246744156,0.13048088550567627,0.08010537177324295,0.0766780897974968,0.07682598382234573,0.08122983574867249,0.011396859772503376,0.014326528646051884,0.013958814553916454,0.014741244725883007,0.006404947489500046,0.00206392933614552,0.0021179949399083853,0.0017565577290952206,0.0021663254592567682,0.0016929932171478868,0.001957320375367999,0.0008348837145604193,0.003397856606170535,0.002936404664069414,0.003557009855285287,0.0032152910716831684,0.00984714925289154,0.016507549211382866,0.014224013313651085,0.01653512753546238,0.02694893814623356,0.027071891352534294,0.021780584007501602,0.022061672061681747
2025-09-26 13:40:12.067763,52.379852294921875,12.117846488952637,950.3099975585938,4.824999809265137,51.04999923706055,18.440000534057617,0.05494505539536476,0.22161172330379486,0.5286935567855835,0.5769230723381042,0.3572380542755127,0.357692688703537,0.3547994792461395,0.353009432554245,0.5724356770515442,0.5756512880325317,0.5797402262687683,0.5804318189620972,0.5305590629577637,0.5275086760520935,0.5256385207176208,0.5269433856010437,0.4377303123474121,0.43455731868743896,0.43555593490600586,0.4305906593799591,0.13697029650211334,0.14112484455108643,0.13533413410186768,0.13950031995773315,0.07271652668714523,0.07812177389860153,0.07277210056781769,0.07497365772724152,0.011797919869422913,0.012533212080597878,0.010919176042079926,0.010968350805342197,0.001209690817631781,0.001454872079193592,0.0023270391393452883,0.002337204059585929,0.0019130217842757702,0.0016533079324290156,0.001036055851727724,0.0022785526234656572,0.002808299381285906,0.004149750340729952,0.0032386835664510727,0.002982319565489888,0.015785422176122665,0.01476980559527874,0.01074193511158228,0.014007148332893848,0.024564163759350777,0.023862723261117935,0.022617001086473465,0.027853617444634438
2025-09-26 13:40:34.090368,52.371986389160156,12.350821495056152,950.2899780273438,4.789999961853027,51.04999923706055,18.719999313354492,0.053113553673028946,0.22466422617435455,0.5286935567855835,0.569597065448761,0.3490423560142517,0.34897518157958984,0.3486958146095276,0.3469046950340271,0.5793626308441162,0.5812503695487976,0.5822622776031494,0.5785828232765198,0.5309572219848633,0.5283507108688354,0.5282363891601562,0.5287761092185974,0.43598300218582153,0.43425822257995605,0.4376545548439026,0.43371182680130005,0.13469895720481873,0.13542121648788452,0.1299578994512558,0.1321438103914261,0.07366198301315308,0.06522288173437119,0.07370029389858246,0.07102778553962708,0.01168778445571661,0.011348234489560127,0.013249297626316547,0.011537658981978893,0.002741943346336484,0.0024718493223190308,0.0019332445226609707,0.0017341229831799865,0.0014368504052981734,0.0018566320650279522,0.001518473494797945,0.0018909747013822198,0.0034051707480102777,0.003517436794936657,0.004629937931895256,0.0033827030565589666,0.010214010253548622,0.015035409480333328,0.013201219029724598,0.015410013496875763,0.020877860486507416,0.025648050010204315,0.020934537053108215,0.02499270625412464
2025-09-26 13:40:56.103860,52.362548828125,12.480198860168457,950.280029296875,4.781000137329102,51.060001373291016,18.809999465942383,0.05677655711770058,0.22893773019313812,0.5439560413360596,0.5952380895614624,0.3584116995334625,0.35865217447280884,0.35687267780303955,0.35649722814559937,0.5795038342475891,0.580547571182251,0.5795318484306335,0.575826108455658,0.5268371105194092,0.5256938934326172,0.5294026136398315,0.5297219157218933,0.4367998540401459,0.43391913175582886,0.4340260624885559,0.4319251775741577,0.136226624250412,0.13685300946235657,0.13593366742134094,0.13486772775650024,0.07111696898937225,0.07508257031440735,0.07334314286708832,0.07346758246421814,0.01091847289353609,0.01133676990866661,0.010927548632025719,0.013716626912355423,0.0018673862796276808,0.0024226924870163202,0.0021754105109721422,0.0017378042684867978,0.002028160961344838,0.0017251655226573348,0.002163746627047658,0.0012193748261779547,0.002883584937080741,0.003058643313124776,0.0034782185684889555,0.0026316181756556034,0.012370116077363491,0.01260480098426342,0.011661962606012821,0.016390584409236908,0.02728029154241085,0.02633300982415676,0.02192343771457672,0.028482070192694664
2025-09-26 13:41:18.069504,52.35783004760742,12.526744842529297,950.280029296875,4.771999835968018,51.02000045776367,18.860000610351562,0.05616605654358864,0.23199023306369781,0.5427350401878357,0.5921856164932251,0.34922707080841064,0.3494875133037567,0.3524671196937561,0.35144516825675964,0.5746574401855469,0.5715595483779907,0.5693069696426392,0.5670031905174255,0.5289040803909302,0.5306712985038757,0.527045488357544,0.5239652395248413,0.4347214102745056,0.4365463852882385,0.43480443954467773,0.43076106905937195,0.13937470316886902,0.13087940216064453,0.13992929458618164,0.1312057077884674,0.07401615381240845,0.07367050647735596,0.07049016654491425,0.0752771869301796,0.011324610561132431,0.012011709623038769,0.010678629390895367,0.0123562291264534,0.0014060004614293575,0.0013517345068976283,0.0015417588874697685,0.002284705638885498,0.00185303739272058,0.001613245578482747,0.0012727758148685098,0.0012560348259285092,0.004218446556478739,0.003018065122887492,0.002931999508291483,0.0030636244919151068,0.013507545925676823,0.011905794031918049,0.01346175093203783,0.016455495730042458,0.01646573655307293,0.0202015470713377,0.024381190538406372,0.024867648258805275
2025-09-26 13:41:40.085577,52.35499954223633,12.547402381896973,950.27001953125,4.75,51.060001373291016,18.8700008392334,0.0555555559694767,0.22283272445201874,0.5256410241127014,0.5653235912322998,0.3537958562374115,0.35535192489624023,0.352439820766449,0.3535922169685364,0.577728807926178,0.575494647026062,0.5727806687355042,0.5695998072624207,0.52520751953125,0.5288887619972229,0.5306389331817627,0.5261621475219727,0.43507423996925354,0.43566662073135376,0.4332629144191742,0.4353668689727783,0.13648076355457306,0.13900956511497498,0.13356387615203857,0.1330481767654419,0.0705145001411438,0.07634549587965012,0.0750451311469078,0.07622479647397995,0.01107726525515318,0.012519263662397861,0.00867815688252449,0.010144025087356567,0.0026658298447728157,0.002889227354899049,0.003571760840713978,0.003498286474496126,0.0014407880371436477,0.001363886520266533,0.001472037867642939,0.0012298296205699444,0.0023515077773481607,0.0026588730979710817,0.0036156526766717434,0.0028442328330129385,0.01626213639974594,0.012819615192711353,0.013065882958471775,0.013679521158337593,0.01997305639088154,0.024013128131628036,0.02542917989194393,0.02374832145869732
2025-09-26 13:42:02.107093,52.355628967285156,12.531841278076172,950.27001953125,4.736999988555908,51.0099983215332,18.8700008392334,0.057387057691812515,0.23260073363780975,0.5451770424842834,0.5952380895614624,0.35817480087280273,0.35792022943496704,0.3597007691860199,0.35512080788612366,0.5744978189468384,0.5728170871734619,0.5721611380577087,0.5690547227859497,0.5274354815483093,0.5312143564224243,0.5291076898574829,0.525365948677063,0.4339284896850586,0.43616390228271484,0.4344278872013092,0.43199241161346436,0.1385156363248825,0.1325855553150177,0.1334981471300125,0.13572320342063904,0.07405266165733337,0.07883694022893906,0.07401465624570847,0.06893382221460342,0.011748249642550945,0.010353527963161469,0.012454390525817871,0.00916296150535345,0.0032653571106493473,0.003954507410526276,0.0031995901372283697,0.002114499220624566,0.002001895336434245,0.0013993388274684548,0.0018025835743173957,0.0010576648637652397,0.0033707136753946543,0.004269066266715527,0.004777342546731234,0.002622437197715044,0.01355087012052536,0.016641734167933464,0.013529926538467407,0.017146658152341843,0.025290604680776596,0.02249935083091259,0.02795296162366867,0.023961035534739494
2025-09-26 13:42:24.187577,52.35908889770508,12.516408920288086,950.25,4.742000102996826,51.060001373291016,18.84000015258789,0.05677655711770058,0.23260073363780975,0.5427350401878357,0.5921856164932251,0.34928345680236816,0.3501589000225067,0.3488229513168335,0.34646302461624146,0.5738040804862976,0.5750924348831177,0.575758695602417,0.5742315649986267,0.5286145806312561,0.5276294946670532,0.5285701155662537,0.5277359485626221,0.43511784076690674,0.4326801002025604,0.43662065267562866,0.4345855712890625,0.13503403961658478,0.13786578178405762,0.1322755217552185,0.1403254121541977,0.07628918439149857,0.07158318907022476,0.0781669169664383,0.07797271013259888,0.0135732376947999,0.014230906963348389,0.013424789533019066,0.014480830170214176,0.002913515316322446,0.0031514125876128674,0.002620757557451725,0.0018672923324629664,0.0015310045564547181,0.001243190374225378,0.0011866652639582753,0.0021918313577771187,0.0034852921962738037,0.003327528014779091,0.003621193813160062,0.002624952234327793,0.013608277775347233,0.0132692139595747,0.01154807023704052,0.012380626983940601,0.021884487941861153,0.02604522742331028,0.020994044840335846,0.024506045505404472
2025-09-26 13:42:46.265104,52.35908889770508,12.511213302612305,950.22998046875,4.732999801635742,51.060001373291016,18.860000610351562,0.057387057691812515,0.23137973248958588,0.5402930378913879,0.5921856164932251,0.3523709774017334,0.3492651581764221,0.3506249487400055,0.34526869654655457,0.5701200366020203,0.5724779367446899,0.5755950212478638,0.5763975381851196,0.5316278338432312,0.5288320779800415,0.5280908942222595,0.5291970372200012,0.4359963536262512,0.43338972330093384,0.4362034797668457,0.43421709537506104,0.13580578565597534,0.13238684833049774,0.13574610650539398,0.13938090205192566,0.06600084155797958,0.0736488401889801,0.07174813002347946,0.08210811018943787,0.011515350081026554,0.012501473538577557,0.01306125894188881,0.014128896407783031,0.003913110122084618,0.004067401401698589,0.003128061071038246,0.0015903707826510072,0.0012725057313218713,0.001349849859252572,0.0014353940496221185,0.0011916474904865026,0.0038257227279245853,0.0033972226083278656,0.00518562737852335,0.0029124999418854713,0.012235397472977638,0.014319934882223606,0.013553795404732227,0.01050003431737423,0.02255137823522091,0.02236236445605755,0.024550320580601692,0.02458360604941845
2025-09-26 13:43:08.279324,52.363494873046875,12.485437393188477,950.2000122070312,4.732999801635742,51.060001373291016,18.84000015258789,0.057387057691812515,0.230158731341362,0.5372405648231506,0.5879120826721191,0.36152753233909607,0.3633407652378082,0.36541903018951416,0.365349143743515,0.5708214640617371,0.574160635471344,0.5795470476150513,0.5820276737213135,0.5294797420501709,0.5256686210632324,0.5248709321022034,0.5272559523582458,0.4351575970649719,0.4353939890861511,0.4365013539791107,0.4315265119075775,0.13441547751426697,0.14293904602527618,0.13619214296340942,0.13791660964488983,0.07829131186008453,0.06949394941329956,0.0762261226773262,0.07593134045600891,0.009739140048623085,0.011311694048345089,0.013928142376244068,0.01366827916353941,0.0014767159009352326,0.0018839545082300901,0.002462778938934207,0.0030182255432009697,0.00256382510997355,0.0021986986976116896,0.0016455226577818394,0.0020530843175947666,0.0036575740668922663,0.0034062655176967382,0.003145272843539715,0.002658091951161623,0.014458644203841686,0.017309419810771942,0.012034554034471512,0.012072884477674961,0.02503073401749134,0.02211812138557434,0.019977720454335213,0.022753965109586716
